,predicted_mean
2021-01-01,6242.093591080502
2021-02-01,6322.685403415157
2021-03-01,5776.061673395738
2021-04-01,5608.861618290345
2021-05-01,5635.880481987228
2021-06-01,5715.619975942348
2021-07-01,5884.531845160822
2021-08-01,5931.441499082801
2021-09-01,5880.856524015911
2021-10-01,5823.18567148573
2021-11-01,5777.1997186661465
2021-12-01,5777.411863742841
